competitor,type,homepage_experience,chat_experience,mobile_experience,language_support,search_capability,document_retrieval,stock_information,filing_explanation,citations,account_opening_assistance,human_handoff,call_booking,lead_capture,multilingual_finance_support,total_score,research_notes
Zerodha,Brokerage,,,,,,,,,,,,,,,,"Fill scores from 0 to 5 after checking the website/app/help flow. 0=Not available, 1=Very weak, 2=Basic, 3=Good, 4=Strong, 5=Excellent. Do not guess. If not checked, write Not verified in notes."
Angel One,Brokerage,,,,,,,,,,,,,,,,"Fill scores from 0 to 5 after checking the website/app/help flow. 0=Not available, 1=Very weak, 2=Basic, 3=Good, 4=Strong, 5=Excellent. Do not guess. If not checked, write Not verified in notes."
Groww,Brokerage,,,,,,,,,,,,,,,,"Fill scores from 0 to 5 after checking the website/app/help flow. 0=Not available, 1=Very weak, 2=Basic, 3=Good, 4=Strong, 5=Excellent. Do not guess. If not checked, write Not verified in notes."
Upstox,Brokerage,,,,,,,,,,,,,,,,"Fill scores from 0 to 5 after checking the website/app/help flow. 0=Not available, 1=Very weak, 2=Basic, 3=Good, 4=Strong, 5=Excellent. Do not guess. If not checked, write Not verified in notes."
ICICI Direct,Brokerage,,,,,,,,,,,,,,,,"Fill scores from 0 to 5 after checking the website/app/help flow. 0=Not available, 1=Very weak, 2=Basic, 3=Good, 4=Strong, 5=Excellent. Do not guess. If not checked, write Not verified in notes."
Botpress,AI Platform,,,,,,,,,,,,,,,,"Fill scores from 0 to 5 after checking the website/app/help flow. 0=Not available, 1=Very weak, 2=Basic, 3=Good, 4=Strong, 5=Excellent. Do not guess. If not checked, write Not verified in notes."
ManyChat,AI Platform,,,,,,,,,,,,,,,,"Fill scores from 0 to 5 after checking the website/app/help flow. 0=Not available, 1=Very weak, 2=Basic, 3=Good, 4=Strong, 5=Excellent. Do not guess. If not checked, write Not verified in notes."
Intercom / Fin,AI Platform,,,,,,,,,,,,,,,,"Fill scores from 0 to 5 after checking the website/app/help flow. 0=Not available, 1=Very weak, 2=Basic, 3=Good, 4=Strong, 5=Excellent. Do not guess. If not checked, write Not verified in notes."
Drift,AI Platform,,,,,,,,,,,,,,,,"Fill scores from 0 to 5 after checking the website/app/help flow. 0=Not available, 1=Very weak, 2=Basic, 3=Good, 4=Strong, 5=Excellent. Do not guess. If not checked, write Not verified in notes."
Freshchat / Freddy AI,AI Platform,,,,,,,,,,,,,,,,"Fill scores from 0 to 5 after checking the website/app/help flow. 0=Not available, 1=Very weak, 2=Basic, 3=Good, 4=Strong, 5=Excellent. Do not guess. If not checked, write Not verified in notes."
